# Intensity Error [H,H,0] [0,0,L] DeltaE [H,-H,0]
#  shape: 12x50x1x1
2.713627e-02 1.914073e-03 3.125000e-01 4.050000e+00 1.075000e+00 0.000000e+00
3.107621e-02 2.044690e-03 3.125000e-01 4.150000e+00 1.075000e+00 0.000000e+00
1.858048e-02 1.581694e-03 3.125000e-01 4.250000e+00 1.075000e+00 0.000000e+00
1.971078e-02 1.625737e-03 3.125000e-01 4.350000e+00 1.075000e+00 0.000000e+00
1.435934e-02 1.381746e-03 3.125000e-01 4.450000e+00 1.075000e+00 0.000000e+00
1.030738e-02 1.167092e-03 3.125000e-01 4.550000e+00 1.075000e+00 0.000000e+00
9.394100e-03 1.107118e-03 3.125000e-01 4.650000e+00 1.075000e+00 0.000000e+00
7.374348e-03 9.767673e-04 3.125000e-01 4.750000e+00 1.075000e+00 0.000000e+00
7.259130e-03 9.615060e-04 3.125000e-01 4.850000e+00 1.075000e+00 0.000000e+00
5.246996e-03 8.096384e-04 3.125000e-01 4.950000e+00 1.075000e+00 0.000000e+00
nan nan 3.375000e-01 5.000000e-02 1.075000e+00 0.000000e+00
nan nan 3.375000e-01 1.500000e-01 1.075000e+00 0.000000e+00
nan nan 3.375000e-01 2.500000e-01 1.075000e+00 0.000000e+00
0.000000e+00 0.000000e+00 3.375000e-01 3.500000e-01 1.075000e+00 0.000000e+00
1.362185e-03 5.561101e-04 3.375000e-01 4.500000e-01 1.075000e+00 0.000000e+00
2.508364e-03 6.476750e-04 3.375000e-01 5.500000e-01 1.075000e+00 0.000000e+00
3.988076e-03 8.140680e-04 3.375000e-01 6.500000e-01 1.075000e+00 0.000000e+00
7.915457e-03 1.142513e-03 3.375000e-01 7.500000e-01 1.075000e+00 0.000000e+00
6.388401e-03 1.022980e-03 3.375000e-01 8.500000e-01 1.075000e+00 0.000000e+00
1.030340e-02 1.298117e-03 3.375000e-01 9.500000e-01 1.075000e+00 0.000000e+00
1.223920e-02 1.413281e-03 3.375000e-01 1.050000e+00 1.075000e+00 0.000000e+00
1.406384e-02 1.507821e-03 3.375000e-01 1.150000e+00 1.075000e+00 0.000000e+00
1.491352e-02 1.546478e-03 3.375000e-01 1.250000e+00 1.075000e+00 0.000000e+00
2.158049e-02 1.857377e-03 3.375000e-01 1.350000e+00 1.075000e+00 0.000000e+00
2.046467e-02 1.801836e-03 3.375000e-01 1.450000e+00 1.075000e+00 0.000000e+00
2.586286e-02 2.032001e-03 3.375000e-01 1.550000e+00 1.075000e+00 0.000000e+00
2.547957e-02 2.020685e-03 3.375000e-01 1.650000e+00 1.075000e+00 0.000000e+00
2.202426e-02 1.874849e-03 3.375000e-01 1.750000e+00 1.075000e+00 0.000000e+00
2.640346e-02 2.055532e-03 3.375000e-01 1.850000e+00 1.075000e+00 0.000000e+00
2.388163e-02 1.949950e-03 3.375000e-01 1.950000e+00 1.075000e+00 0.000000e+00
2.063478e-02 1.816813e-03 3.375000e-01 2.050000e+00 1.075000e+00 0.000000e+00
2.343730e-02 1.933101e-03 3.375000e-01 2.150000e+00 1.075000e+00 0.000000e+00
2.685519e-02 1.953451e-03 3.375000e-01 2.250000e+00 1.075000e+00 0.000000e+00
3.420410e-02 2.081619e-03 3.375000e-01 2.350000e+00 1.075000e+00 0.000000e+00
3.174675e-02 2.011890e-03 3.375000e-01 2.450000e+00 1.075000e+00 0.000000e+00
4.017967e-02 2.274754e-03 3.375000e-01 2.550000e+00 1.075000e+00 0.000000e+00
4.623823e-02 2.447218e-03 3.375000e-01 2.650000e+00 1.075000e+00 0.000000e+00
4.426524e-02 2.383187e-03 3.375000e-01 2.750000e+00 1.075000e+00 0.000000e+00
4.635323e-02 2.422948e-03 3.375000e-01 2.850000e+00 1.075000e+00 0.000000e+00
4.943672e-02 2.493785e-03 3.375000e-01 2.950000e+00 1.075000e+00 0.000000e+00
6.009970e-02 2.760504e-03 3.375000e-01 3.050000e+00 1.075000e+00 0.000000e+00
4.652322e-02 2.421933e-03 3.375000e-01 3.150000e+00 1.075000e+00 0.000000e+00
4.475009e-02 2.388613e-03 3.375000e-01 3.250000e+00 1.075000e+00 0.000000e+00
3.695373e-02 2.166292e-03 3.375000e-01 3.350000e+00 1.075000e+00 0.000000e+00
3.346139e-02 2.047827e-03 3.375000e-01 3.450000e+00 1.075000e+00 0.000000e+00
2.744804e-02 1.854791e-03 3.375000e-01 3.550000e+00 1.075000e+00 0.000000e+00
2.782969e-02 1.992948e-03 3.375000e-01 3.650000e+00 1.075000e+00 0.000000e+00
